                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5611,                 1.6026,                 1.4123,                0.48416,                0.43104,                0.42825,                0.23057,                 1.6554,                 1.5799,                 1.4209,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5469,                 1.5878,                 1.3984,                0.49759,                0.43557,                0.43243,                0.23308,                 1.6264,                 1.5279,                 1.4281,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.546,                  1.605,                 1.4271,                0.47788,                0.45039,                 0.4396,                0.24203,                 1.6104,                 1.4954,                 1.4074,               0.001307,               0.001307,               0.001307
                     37,                 1.5412,                 1.5635,                 1.4007,                0.47113,                0.44133,                0.42428,                0.23372,                 1.6282,                 1.5168,                 1.4326,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.542,                  1.574,                 1.3897,                0.46583,                0.44669,                0.42806,                0.23583,                 1.5981,                 1.5332,                 1.3955,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5304,                 1.5831,                 1.3958,                0.47674,                0.44545,                0.43213,                0.23997,                 1.5942,                 1.5099,                 1.3926,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5406,                 1.5628,                 1.4012,                0.47719,                0.44453,                0.43297,                 0.2416,                 1.5876,                 1.4771,                 1.3978,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5378,                 1.5619,                 1.3884,                0.48079,                0.44545,                0.43615,                0.24108,                 1.6121,                 1.4861,                 1.3988,               0.001208,               0.001208,               0.001208
                     42,                 1.5273,                 1.5553,                 1.3988,                0.48988,                0.45189,                0.44796,                0.25386,                 1.5682,                 1.4504,                 1.3964,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4971,                 1.5376,                   1.37,                0.47812,                0.43475,                 0.4301,                0.24733,                 1.5596,                 1.4755,                 1.3812,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5096,                 1.5338,                 1.3641,                0.48361,                0.46357,                0.43772,                 0.2342,                 1.5863,                 1.4983,                 1.3974,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5271,                 1.5454,                  1.384,                0.49546,                0.45451,                0.44489,                0.24623,                 1.5925,                 1.4448,                 1.3946,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5168,                 1.5446,                 1.3846,                0.51462,                0.45574,                0.45923,                0.25426,                  1.557,                 1.4226,                 1.3778,               0.001109,               0.001109,               0.001109
                     47,                 1.5033,                 1.4995,                 1.3672,                0.48334,                0.45533,                0.44819,                0.25034,                 1.5768,                 1.4258,                 1.3807,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5115,                  1.495,                 1.3634,                0.50372,                0.46686,                0.45935,                0.25795,                 1.5895,                 1.4333,                 1.3974,              0.0010694,              0.0010694,              0.0010694
