                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4953,                 1.4889,                 1.3148,                0.51997,                0.42498,                0.43141,                0.23577,                 1.6067,                 1.4459,                 1.3326,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4771,                 1.4873,                 1.3117,                0.52393,                0.42528,                 0.4342,                0.23144,                 1.5872,                  1.466,                 1.3059,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4797,                  1.473,                 1.3124,                0.51452,                0.44767,                0.44086,                0.24334,                 1.6368,                 1.4349,                 1.3314,               0.001307,               0.001307,               0.001307
                     37,                 1.4845,                 1.4679,                 1.3103,                0.50906,                0.44586,                0.43433,                0.23346,                 1.6051,                 1.5308,                 1.3167,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4717,                 1.4633,                 1.3061,                0.48668,                0.45747,                  0.445,                0.23608,                 1.5983,                 1.4742,                  1.308,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4594,                 1.4721,                 1.3035,                0.50216,                 0.4489,                0.44193,                 0.2451,                 1.5893,                 1.4398,                 1.2992,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4609,                 1.4375,                 1.2993,                0.48086,                0.44092,                0.42838,                0.24573,                 1.5859,                 1.4076,                 1.3299,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4787,                 1.4522,                 1.3078,                0.47684,                0.47756,                0.44058,                0.23813,                 1.5928,                   1.41,                 1.2855,               0.001208,               0.001208,               0.001208
                     42,                 1.4682,                   1.45,                 1.3035,                0.50727,                0.45327,                0.45804,                0.25534,                 1.5747,                  1.409,                 1.2792,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4382,                 1.4312,                 1.2908,                0.50357,                0.44833,                0.44088,                0.25093,                 1.5931,                 1.3776,                 1.3022,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4521,                 1.4324,                 1.2826,                0.50843,                0.46933,                0.43998,                  0.235,                 1.5888,                 1.4459,                 1.2936,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4645,                 1.4337,                 1.3012,                0.48626,                0.47592,                0.45567,                0.25279,                 1.5829,                 1.3857,                 1.2907,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4464,                 1.4263,                 1.2919,                0.51941,                0.45739,                0.45965,                0.25886,                 1.5664,                  1.354,                 1.2804,               0.001109,               0.001109,               0.001109
                     47,                 1.4479,                 1.4106,                 1.2858,                0.49362,                 0.4591,                0.45096,                0.25749,                 1.5642,                 1.3601,                 1.2819,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4458,                 1.3989,                 1.2754,                0.50197,                0.46315,                0.45005,                0.25576,                 1.5246,                 1.3659,                 1.2748,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4218,                 1.3984,                 1.2764,                0.53515,                0.45451,                0.46808,                0.25049,                  1.589,                 1.3962,                 1.2985,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4363,                  1.402,                 1.2807,                0.50749,                 0.4648,                0.45279,                0.25877,                 1.5528,                 1.3671,                  1.283,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4188,                   1.39,                 1.2794,                0.49793,                0.47221,                 0.4573,                0.25641,                  1.537,                 1.3699,                 1.2755,                0.00101,                0.00101,                0.00101
                     52,                 1.4159,                 1.3753,                 1.2705,                0.50866,                0.46933,                0.46315,                 0.2615,                 1.5329,                 1.3477,                 1.2696,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4072,                 1.3687,                 1.2666,                0.51734,                0.47715,                0.45907,                0.24738,                  1.576,                 1.4151,                 1.2965,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.405,                 1.3571,                 1.2592,                0.50981,                0.47674,                0.46242,                0.25867,                 1.5635,                 1.3381,                 1.2893,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4076,                 1.3814,                 1.2681,                0.51104,                0.47345,                  0.458,                0.25224,                  1.589,                 1.3578,                 1.2921,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4124,                 1.3659,                 1.2721,                0.52053,                0.47015,                0.46473,                0.25312,                 1.5475,                 1.3574,                 1.2769,               0.000911,               0.000911,               0.000911
                     57,                 1.3907,                 1.3631,                 1.2621,                0.53132,                0.46686,                0.47022,                0.26195,                 1.5452,                  1.333,                   1.28,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4082,                 1.3571,                 1.2652,                0.52083,                0.46851,                0.47061,                0.25055,                   1.56,                 1.3651,                 1.2768,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3948,                 1.3487,                 1.2579,                0.51738,                0.48044,                0.47132,                 0.2668,                 1.5314,                 1.3209,                 1.2673,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3778,                 1.3315,                 1.2508,                0.51209,                0.47402,                0.47213,                 0.2595,                 1.5484,                 1.3276,                 1.2643,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3999,                 1.3205,                 1.2502,                0.52067,                0.48168,                0.47675,                0.26308,                 1.5473,                 1.3246,                 1.2695,               0.000812,               0.000812,               0.000812
                     62,                 1.3746,                  1.332,                 1.2466,                0.53026,                0.49076,                0.48086,                0.26359,                 1.5443,                 1.3298,                 1.2595,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3874,                 1.3433,                 1.2498,                0.53719,                0.45862,                0.47872,                 0.2726,                 1.5292,                 1.2932,                 1.2688,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3745,                 1.3191,                 1.2544,                0.52245,                0.47056,                0.48082,                0.27387,                 1.5115,                  1.309,                 1.2546,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.364,                 1.3091,                 1.2468,                0.51808,                0.47839,                0.47686,                0.26937,                 1.5476,                 1.3007,                 1.2975,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3816,                 1.3199,                 1.2486,                0.52283,                0.48041,                0.48798,                0.27246,                 1.5443,                  1.295,                 1.2738,               0.000713,               0.000713,               0.000713
                     67,                 1.3619,                 1.3012,                 1.2405,                0.53543,                0.48127,                 0.4862,                0.27114,                 1.5447,                 1.2868,                 1.2855,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3664,                 1.3211,                 1.2415,                0.51279,                 0.4755,                0.48265,                0.26822,                 1.5202,                 1.3028,                 1.2691,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3634,                 1.2932,                 1.2349,                0.54517,                0.46386,                0.47812,                0.26868,                  1.537,                 1.3101,                  1.276,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3631,                 1.2971,                   1.24,                0.52672,                0.48538,                0.49053,                0.27141,                 1.5243,                 1.2898,                 1.2705,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.342,                 1.2822,                 1.2311,                0.52086,                 0.4923,                0.48106,                0.27154,                 1.5193,                 1.2935,                 1.2614,               0.000614,               0.000614,               0.000614
                     72,                 1.3631,                    1.3,                 1.2407,                0.52802,                0.48127,                0.47944,                0.26895,                  1.531,                  1.293,                 1.2705,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.348,                 1.2981,                 1.2302,                0.52474,                0.47386,                0.47921,                0.27048,                 1.5245,                 1.2755,                 1.2704,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3512,                  1.297,                 1.2377,                0.53898,                0.48827,                0.48142,                0.26718,                 1.5211,                 1.2842,                 1.2754,              0.0005546,              0.0005546,              0.0005546
